K1,b,map
0.0,0.0,0.1482
0.0,0.1,0.1482
0.0,0.2,0.1482
0.0,0.3,0.1482
0.0,0.4,0.1482
0.0,0.5,0.1482
0.0,0.6,0.1482
0.0,0.7,0.1482
0.0,0.8,0.1482
0.0,0.9,0.1482
0.0,1.0,0.1482
0.1,0.0,0.1508
0.1,0.1,0.1821
0.1,0.2,0.1984
0.1,0.3,0.2136
0.1,0.4,0.2258
0.1,0.5,0.2361
0.1,0.6,0.2443
0.1,0.7,0.2508
0.1,0.8,0.2555
0.1,0.9,0.2627
0.1,1.0,0.2675
0.2,0.0,0.1532
0.2,0.1,0.1991
0.2,0.2,0.2263
0.2,0.3,0.2448
0.2,0.4,0.2585
0.2,0.5,0.2688
0.2,0.6,0.2786
0.2,0.7,0.2864
0.2,0.8,0.2910
0.2,0.9,0.2946
0.2,1.0,0.2968
0.3,0.0,0.1538
0.3,0.1,0.2114
0.3,0.2,0.2436
0.3,0.3,0.2617
0.3,0.4,0.2768
0.3,0.5,0.2889
0.3,0.6,0.2980
0.3,0.7,0.3048
0.3,0.8,0.3073
0.3,0.9,0.3124
0.3,1.0,0.3147
0.4,0.0,0.1541
0.4,0.1,0.2192
0.4,0.2,0.2544
0.4,0.3,0.2732
0.4,0.4,0.2894
0.4,0.5,0.3011
0.4,0.6,0.3077
0.4,0.7,0.3140
0.4,0.8,0.3185
0.4,0.9,0.3206
0.4,1.0,0.3220
0.5,0.0,0.1533
0.5,0.1,0.2273
0.5,0.2,0.2604
0.5,0.3,0.2833
0.5,0.4,0.2971
0.5,0.5,0.3093
0.5,0.6,0.3170
0.5,0.7,0.3211
0.5,0.8,0.3234
0.5,0.9,0.3253
0.5,1.0,0.3270
0.6,0.0,0.1523
0.6,0.1,0.2318
0.6,0.2,0.2667
0.6,0.3,0.2884
0.6,0.4,0.3026
0.6,0.5,0.3114
0.6,0.6,0.3197
0.6,0.7,0.3233
0.6,0.8,0.3263
0.6,0.9,0.3282
0.6,1.0,0.3273
0.7,0.0,0.1515
0.7,0.1,0.2347
0.7,0.2,0.2700
0.7,0.3,0.2918
0.7,0.4,0.3038
0.7,0.5,0.3149
0.7,0.6,0.3217
0.7,0.7,0.3254
0.7,0.8,0.3281
0.7,0.9,0.3263
0.7,1.0,0.3254
0.8,0.0,0.1503
0.8,0.1,0.2366
0.8,0.2,0.2723
0.8,0.3,0.2926
0.8,0.4,0.3055
0.8,0.5,0.3155
0.8,0.6,0.3219
0.8,0.7,0.3252
0.8,0.8,0.3261
0.8,0.9,0.3253
0.8,1.0,0.3230
0.9,0.0,0.1498
0.9,0.1,0.2383
0.9,0.2,0.2738
0.9,0.3,0.2928
0.9,0.4,0.3048
0.9,0.5,0.3145
0.9,0.6,0.3206
0.9,0.7,0.3253
0.9,0.8,0.3252
0.9,0.9,0.3230
0.9,1.0,0.3212
1.0,0.0,0.1481
