Title boost value,Content boost value,Date boost value,Publication boost value,map score
0,0,0,0,0.0000
1,0,0,0,0.0374
2,0,0,0,0.0374
3,0,0,0,0.0374
4,0,0,0,0.0374
5,0,0,0,0.0374
0,1,0,0,0.3064
1,1,0,0,0.2366
2,1,0,0,0.1604
3,1,0,0,0.1202
4,1,0,0,0.0939
5,1,0,0,0.0764
0,2,0,0,0.3064
1,2,0,0,0.2880
2,2,0,0,0.2366
3,2,0,0,0.1923
4,2,0,0,0.1604
5,2,0,0,0.1375
0,3,0,0,0.3064
1,3,0,0,0.3030
2,3,0,0,0.2701
3,3,0,0,0.2366
4,3,0,0,0.2075
5,3,0,0,0.1817
0,4,0,0,0.3064
1,4,0,0,0.3065
2,4,0,0,0.2880
3,4,0,0,0.2604
4,4,0,0,0.2366
5,4,0,0,0.2149
0,5,0,0,0.3064
1,5,0,0,0.3085
2,5,0,0,0.2978
3,5,0,0,0.2775
4,5,0,0,0.2557
5,5,0,0,0.2366
0,0,1,0,0.0000
1,0,1,0,0.0374
2,0,1,0,0.0374
3,0,1,0,0.0374
4,0,1,0,0.0374
5,0,1,0,0.0374
0,1,1,0,0.3064
1,1,1,0,0.2366
2,1,1,0,0.1604
3,1,1,0,0.1202
4,1,1,0,0.0939
5,1,1,0,0.0764
0,2,1,0,0.3064
1,2,1,0,0.2880
2,2,1,0,0.2366
3,2,1,0,0.1923
4,2,1,0,0.1604
5,2,1,0,0.1375
0,3,1,0,0.3064
1,3,1,0,0.3030
2,3,1,0,0.2701
3,3,1,0,0.2366
4,3,1,0,0.2075
5,3,1,0,0.1817
0,4,1,0,0.3064
1,4,1,0,0.3065
2,4,1,0,0.2880
3,4,1,0,0.2604
4,4,1,0,0.2366
5,4,1,0,0.2149
0,5,1,0,0.3064
1,5,1,0,0.3085
2,5,1,0,0.2978
3,5,1,0,0.2775
4,5,1,0,0.2557
5,5,1,0,0.2366
0,0,2,0,0.0000
1,0,2,0,0.0374
2,0,2,0,0.0374
3,0,2,0,0.0374
4,0,2,0,0.0374
5,0,2,0,0.0374
0,1,2,0,0.3064
1,1,2,0,0.2366
2,1,2,0,0.1604
3,1,2,0,0.1202
4,1,2,0,0.0939
5,1,2,0,0.0764
0,2,2,0,0.3064
1,2,2,0,0.2880
2,2,2,0,0.2366
3,2,2,0,0.1923
4,2,2,0,0.1604
5,2,2,0,0.1375
0,3,2,0,0.3064
1,3,2,0,0.3030
2,3,2,0,0.2701
3,3,2,0,0.2366
4,3,2,0,0.2075
5,3,2,0,0.1817
0,4,2,0,0.3064
1,4,2,0,0.3065
2,4,2,0,0.2880
3,4,2,0,0.2604
4,4,2,0,0.2366
5,4,2,0,0.2149
0,5,2,0,0.3064
1,5,2,0,0.3085
2,5,2,0,0.2978
3,5,2,0,0.2775
4,5,2,0,0.2557
5,5,2,0,0.2366
0,0,3,0,0.0000
1,0,3,0,0.0374
2,0,3,0,0.0374
3,0,3,0,0.0374
4,0,3,0,0.0374
5,0,3,0,0.0374
0,1,3,0,0.3064
1,1,3,0,0.2366
2,1,3,0,0.1604
3,1,3,0,0.1202
4,1,3,0,0.0939
5,1,3,0,0.0764
0,2,3,0,0.3064
1,2,3,0,0.2880
2,2,3,0,0.2366
3,2,3,0,0.1923
4,2,3,0,0.1604
5,2,3,0,0.1375
0,3,3,0,0.3064
1,3,3,0,0.3030
2,3,3,0,0.2701
3,3,3,0,0.2366
4,3,3,0,0.2075
5,3,3,0,0.1817
0,4,3,0,0.3064
1,4,3,0,0.3065
2,4,3,0,0.2880
3,4,3,0,0.2604
4,4,3,0,0.2366
5,4,3,0,0.2149
0,5,3,0,0.3064
1,5,3,0,0.3085
2,5,3,0,0.2978
3,5,3,0,0.2775
4,5,3,0,0.2557
5,5,3,0,0.2366
0,0,4,0,0.0000
1,0,4,0,0.0369
2,0,4,0,0.0374
3,0,4,0,0.0374
4,0,4,0,0.0374
5,0,4,0,0.0374
0,1,4,0,0.3063
1,1,4,0,0.2366
2,1,4,0,0.1604
3,1,4,0,0.1202
4,1,4,0,0.0939
5,1,4,0,0.0764
0,2,4,0,0.3064
1,2,4,0,0.2880
2,2,4,0,0.2366
3,2,4,0,0.1923
4,2,4,0,0.1604
5,2,4,0,0.1375
0,3,4,0,0.3064
1,3,4,0,0.3030
2,3,4,0,0.2701
3,3,4,0,0.2366
4,3,4,0,0.2075
5,3,4,0,0.1817
0,4,4,0,0.3064
1,4,4,0,0.3065
2,4,4,0,0.2880
3,4,4,0,0.2604
4,4,4,0,0.2366
5,4,4,0,0.2149
0,5,4,0,0.3064
1,5,4,0,0.3085
2,5,4,0,0.2978
3,5,4,0,0.2775
4,5,4,0,0.2557
5,5,4,0,0.2366
0,0,5,0,0.0000
1,0,5,0,0.0369
2,0,5,0,0.0374
3,0,5,0,0.0374
4,0,5,0,0.0374
5,0,5,0,0.0374
0,1,5,0,0.3060
1,1,5,0,0.2365
2,1,5,0,0.1604
3,1,5,0,0.1202
4,1,5,0,0.0939
5,1,5,0,0.0764
0,2,5,0,0.3064
1,2,5,0,0.2880
2,2,5,0,0.2366
3,2,5,0,0.1923
